T  Ainit D Etat
11 7 0.04  1
11 7 0.05  1
11 7 0.06  1
11 7 0.07  1
11 7 0.08  1
11 7 0.09  1
11 7 0.1  1
11 8 0  1
11 8 0.01  1
11 8 0.02  1
11 8 0.03  1
11 8 0.04  1
11 8 0.05  1
11 8 0.06  1
11 8 0.07  1
11 8 0.08  1
11 8 0.09  1
11 8 0.1  1
11 9 0  1
11 9 0.01  1
11 9 0.02  1
11 9 0.03  1
11 9 0.04  1
11 9 0.05  1
11 9 0.06  1
11 9 0.07  1
11 9 0.08  1
11 9 0.09  1
11 9 0.1  1
11 10 0  1
11 10 0.01  1
11 10 0.02  1
11 10 0.03  1
11 10 0.04  1
11 10 0.05  1
11 10 0.06  1
11 10 0.07  1
11 10 0.08  1
11 10 0.09  1
11 10 0.1  1
11 11 0  1
11 11 0.01  1
11 11 0.02  1
11 11 0.03  1
11 11 0.04  1
11 11 0.05  1
11 11 0.06  1
11 11 0.07  1
11 11 0.08  1
11 11 0.09  1
11 11 0.1  1
11 12 0  1
11 12 0.01  1
11 12 0.02  1
11 12 0.03  1
11 12 0.04  1
11 12 0.05  1
11 12 0.06  1
11 12 0.07  1
11 12 0.08  1
11 12 0.09  1
11 12 0.1  1
11 13 0  1
11 13 0.01  1
11 13 0.02  1
11 13 0.03  1
11 13 0.04  1
11 13 0.05  1
11 13 0.06  1
11 13 0.07  1
11 13 0.08  1
11 13 0.09  1
11 13 0.1  1
11 14 0  1
11 14 0.01  1
11 14 0.02  1
11 14 0.03  1
11 14 0.04  1
11 14 0.05  1
11 14 0.06  1
11 14 0.07  1
11 14 0.08  1
11 14 0.09  1
11 14 0.1  1
11 15 0  1
11 15 0.01  1
11 15 0.02  1
11 15 0.03  1
11 15 0.04  1
11 15 0.05  1
11 15 0.06  1
11 15 0.07  1
11 15 0.08  1
11 15 0.09  1
11 15 0.1  1
11 16 0  1
11 16 0.01  1
11 16 0.02  1
11 16 0.03  1
11 16 0.04  1
11 16 0.05  1
11 16 0.06  1
11 16 0.07  1
11 16 0.08  1
11 16 0.09  1
11 16 0.1  1
11 17 0  1
11 17 0.01  1
11 17 0.02  1
11 17 0.03  1
11 17 0.04  1
11 17 0.05  1
11 17 0.06  1
11 17 0.07  1
11 17 0.08  1
11 17 0.09  1
11 17 0.1  1
11 18 0  1
11 18 0.01  1
11 18 0.02  1
11 18 0.03  1
11 18 0.04  1
11 18 0.05  1
11 18 0.06  1
11 18 0.07  1
11 18 0.08  1
11 18 0.09  1
11 18 0.1  1
11 19 0  1
11 19 0.01  1
11 19 0.02  1
11 19 0.03  1
11 19 0.04  1
11 19 0.05  1
11 19 0.06  1
11 19 0.07  1
11 19 0.08  1
11 19 0.09  1
11 19 0.1  1
11 20 0  1
11 20 0.01  1
11 20 0.02  1
11 20 0.03  1
11 20 0.04  1
11 20 0.05  1
11 20 0.06  1
11 20 0.07  1
11 20 0.08  1
11 20 0.09  1
11 20 0.1  1
11 21 0  1
11 21 0.01  1
11 21 0.02  1
11 21 0.03  1
11 21 0.04  1
11 21 0.05  1
11 21 0.06  1
11 21 0.07  1
11 21 0.08  1
11 21 0.09  1
11 21 0.1  1
11 22 0  1
11 22 0.01  1
11 22 0.02  1
11 22 0.03  1
11 22 0.04  1
11 22 0.05  1
11 22 0.06  1
11 22 0.07  1
11 22 0.08  1
11 22 0.09  1
